label_code,precision,recall,f1-score,support
EL.01,0.0,0.0,0.0,1.0
EL.04,1.0,0.75,0.8571428571428571,4.0
EL.09,0.0,0.0,0.0,1.0
EL.09.01,0.0,0.0,0.0,1.0
EL.29,0.0,0.0,0.0,0.0
EQUIP.02,0.0,0.0,0.0,0.0
EQUIP.08,0.5,0.6666666666666666,0.5714285714285714,3.0
F01.04.01,0.9655172413793104,0.9545454545454546,0.96,88.0
F01.05.01,1.0,0.75,0.8571428571428571,8.0
F01.05.07,0.5,1.0,0.6666666666666666,1.0
F01.06,0.75,0.75,0.75,4.0
F01.07,0.0,0.0,0.0,1.0
F03.02,0.875,0.9333333333333333,0.9032258064516129,15.0
F03.02.01,1.0,1.0,1.0,1.0
F04.02.02,0.6666666666666666,0.8,0.7272727272727273,5.0
GAS.01,1.0,1.0,1.0,1.0
HZ.02.01,0.0,0.0,0.0,1.0
HZ.03.01,0.0,0.0,0.0,2.0
HZ.04.01,0.0,0.0,0.0,0.0
HZ.09.01,0.0,0.0,0.0,1.0
HZ.11,0.25,0.3333333333333333,0.2857142857142857,3.0
HZ.35,0.0,0.0,0.0,0.0
I01.01,1.0,0.5,0.6666666666666666,2.0
INT.06.01,1.0,1.0,1.0,6.0
INT.07.01,0.0,0.0,0.0,1.0
KO.00.02,0.0,0.0,0.0,1.0
KO.01.01.01,1.0,1.0,1.0,1.0
KO.01.02.01,0.0,0.0,0.0,2.0
KO.01.03,0.0,0.0,0.0,4.0
KO.01.06.01,0.0,0.0,0.0,1.0
KO.02.01.01,0.3333333333333333,0.25,0.2857142857142857,8.0
KO.02.02.01,0.8032786885245902,0.8305084745762712,0.8166666666666667,59.0
KO.02.02.02,1.0,0.25,0.4,4.0
KO.02.02.03,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
KO.02.02.04,0.625,0.5,0.5555555555555556,10.0
KO.02.02.05,0.0,0.0,0.0,1.0
KO.02.02.05.01,1.0,0.7,0.8235294117647058,10.0
KO.02.02.05.02,0.6666666666666666,1.0,0.8,2.0
KO.03.02.01,0.5714285714285714,0.8,0.6666666666666666,5.0
KO.03.02.02,0.6666666666666666,1.0,0.8,2.0
KO.03.02.03,1.0,0.5,0.6666666666666666,2.0
KO.04.01.01,0.90625,0.8285714285714286,0.8656716417910447,70.0
KO.04.01.02,0.9210526315789473,0.9459459459459459,0.9333333333333333,37.0
KO.04.02.01,0.9230769230769231,0.8571428571428571,0.8888888888888888,14.0
KO.04.02.03,1.0,1.0,1.0,24.0
KO.04.03.01,1.0,0.8571428571428571,0.9230769230769231,7.0
KO.04.04.01,0.9411764705882353,0.8888888888888888,0.9142857142857143,18.0
KO.04.05.01,0.0,0.0,0.0,1.0
KO.04.05.02,0.6666666666666666,1.0,0.8,2.0
KO.04.07,0.0,0.0,0.0,2.0
KO.05.01,0.8305084745762712,0.9245283018867925,0.875,53.0
KO.06.01,0.75,0.75,0.75,4.0
KO.06.02,1.0,1.0,1.0,1.0
KO.06.04,1.0,1.0,1.0,1.0
KO.99,0.8571428571428571,0.9230769230769231,0.8888888888888888,26.0
LF.03,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
LF.04,0.0,0.0,0.0,1.0
LF.05,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
LF.07,0.0,0.0,0.0,1.0
LF.08,0.0,0.0,0.0,1.0
LF.09,0.0,0.0,0.0,1.0
LF.10,0.5,1.0,0.6666666666666666,1.0
LF.13,1.0,1.0,1.0,7.0
LF.23,0.0,0.0,0.0,2.0
LF.25,0.0,0.0,0.0,1.0
LF.30,0.0,0.0,0.0,1.0
LF.31,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
LF.31.01,0.0,0.0,0.0,2.0
OTH.01,1.0,1.0,1.0,1.0
SN.01,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
SN.03,0.5,0.6,0.5454545454545454,5.0
SN.05.01,0.42857142857142855,0.5,0.46153846153846156,6.0
SN.05.02,0.0,0.0,0.0,0.0
SN.07,0.0,0.0,0.0,1.0
SN.09,0.625,0.45454545454545453,0.5263157894736842,11.0
SN.10,0.2857142857142857,0.2857142857142857,0.2857142857142857,7.0
SN.12,0.0,0.0,0.0,1.0
SN.18.05,0.0,0.0,0.0,1.0
SN.21,0.0,0.0,0.0,4.0
SN.21.01,0.0,0.0,0.0,0.0
SN.21.05,0.6666666666666666,1.0,0.8,2.0
SN.21.07,0.0,0.0,0.0,1.0
SN.21.08,0.3333333333333333,0.25,0.2857142857142857,4.0
SN.22.02,0.0,0.0,0.0,1.0
SN.43,0.0,0.0,0.0,3.0
SN.49.01,0.7,0.7777777777777778,0.7368421052631579,9.0
accuracy,0.7756410256410257,0.7756410256410257,0.7756410256410257,0.7756410256410257
macro avg,0.44066984257523617,0.449619506263998,0.4339367713107184,624.0
weighted avg,0.782752503461396,0.7756410256410257,0.7737528674461761,624.0
