,precision,recall,f1-score,support
EL.01,0.0,0.0,0.0,1.0
EL.04,1.0,1.0,1.0,4.0
EL.09,0.0,0.0,0.0,1.0
EL.09.01,0.0,0.0,0.0,1.0
EL.10,0.0,0.0,0.0,0.0
EQUIP.08,0.5,0.3333333333333333,0.4,3.0
F01.04.01,1.0,0.9772727272727273,0.9885057471264368,88.0
F01.05.01,1.0,0.75,0.8571428571428571,8.0
F01.05.07,1.0,1.0,1.0,1.0
F01.06,1.0,1.0,1.0,4.0
F01.07,0.0,0.0,0.0,1.0
F03.02,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
F03.02.01,0.0,0.0,0.0,1.0
F04.02.02,1.0,1.0,1.0,5.0
GAS.01,1.0,1.0,1.0,1.0
HZ.02.01,0.0,0.0,0.0,1.0
HZ.03.01,1.0,0.5,0.6666666666666666,2.0
HZ.09.01,0.0,0.0,0.0,1.0
HZ.11,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
HZ.35,0.0,0.0,0.0,0.0
I01.01,0.5,0.5,0.5,2.0
I01.02,0.0,0.0,0.0,0.0
INT.06.01,0.8571428571428571,1.0,0.9230769230769231,6.0
INT.07.01,0.5,1.0,0.6666666666666666,1.0
KO.00.02,0.5,1.0,0.6666666666666666,1.0
KO.01.01.01,1.0,1.0,1.0,1.0
KO.01.02.01,1.0,0.5,0.6666666666666666,2.0
KO.01.03,1.0,0.75,0.8571428571428571,4.0
KO.01.06.01,0.0,0.0,0.0,1.0
KO.02.01.01,0.8571428571428571,0.75,0.8,8.0
KO.02.02.01,0.9482758620689655,0.9322033898305084,0.9401709401709402,59.0
KO.02.02.02,1.0,0.75,0.8571428571428571,4.0
KO.02.02.03,1.0,1.0,1.0,9.0
KO.02.02.04,0.5,0.7,0.5833333333333334,10.0
KO.02.02.05,0.0,0.0,0.0,1.0
KO.02.02.05.01,0.8181818181818182,0.9,0.8571428571428571,10.0
KO.02.02.05.02,0.6666666666666666,1.0,0.8,2.0
KO.03.02.01,0.7142857142857143,1.0,0.8333333333333334,5.0
KO.03.02.02,1.0,1.0,1.0,2.0
KO.03.02.03,1.0,0.5,0.6666666666666666,2.0
KO.04.01.01,0.9841269841269841,0.8857142857142857,0.9323308270676691,70.0
KO.04.01.02,0.9487179487179487,1.0,0.9736842105263158,37.0
KO.04.02.01,1.0,0.8571428571428571,0.9230769230769231,14.0
KO.04.02.03,1.0,1.0,1.0,24.0
KO.04.03.01,1.0,0.8571428571428571,0.9230769230769231,7.0
KO.04.04.01,1.0,0.9444444444444444,0.9714285714285714,18.0
KO.04.05.01,1.0,1.0,1.0,1.0
KO.04.05.02,0.6666666666666666,1.0,0.8,2.0
KO.04.07,1.0,1.0,1.0,2.0
KO.05.01,0.9807692307692307,0.9622641509433962,0.9714285714285714,53.0
KO.06.01,0.8,1.0,0.8888888888888888,4.0
KO.06.02,0.0,0.0,0.0,1.0
KO.06.04,0.0,0.0,0.0,1.0
KO.99,0.9615384615384616,0.9615384615384616,0.9615384615384616,26.0
LF.03,0.5,1.0,0.6666666666666666,3.0
LF.04,0.0,0.0,0.0,1.0
LF.05,1.0,1.0,1.0,3.0
LF.07,1.0,1.0,1.0,1.0
LF.08,0.0,0.0,0.0,1.0
LF.09,0.0,0.0,0.0,1.0
LF.10,1.0,1.0,1.0,1.0
LF.13,1.0,1.0,1.0,7.0
LF.23,1.0,1.0,1.0,2.0
LF.25,1.0,1.0,1.0,1.0
LF.30,0.0,0.0,0.0,1.0
LF.31,1.0,1.0,1.0,3.0
LF.31.01,1.0,1.0,1.0,2.0
OTH.01,0.5,1.0,0.6666666666666666,1.0
SN.01,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
SN.03,0.8,0.8,0.8,5.0
SN.05.01,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
SN.07,1.0,1.0,1.0,1.0
SN.09,0.5454545454545454,0.5454545454545454,0.5454545454545454,11.0
SN.10,0.3333333333333333,0.42857142857142855,0.375,7.0
SN.12,0.0,0.0,0.0,1.0
SN.18.05,0.0,0.0,0.0,1.0
SN.21,0.75,0.75,0.75,4.0
SN.21.01,0.0,0.0,0.0,0.0
SN.21.05,0.6666666666666666,1.0,0.8,2.0
SN.21.07,1.0,1.0,1.0,1.0
SN.21.08,1.0,1.0,1.0,4.0
SN.22.02,1.0,1.0,1.0,1.0
SN.43,1.0,0.3333333333333333,0.5,3.0
SN.49.01,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
SPR.01,0.0,0.0,0.0,0.0
accuracy,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846
macro avg,0.6471774202808686,0.651523846186274,0.6375373812456122,624.0
weighted avg,0.9033767278379347,0.8846153846153846,0.8894372439698682,624.0
